Separate instrumented diagnostic: do not compare these times with unprofiled timings.

CUMULATIVE TIME
         30863101 function calls (30794331 primitive calls) in 19.146 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000   19.146    1.915 /root/HW-SW-Co-Design/tools/workload.py:98(<lambda>)
       10    0.000    0.000   19.146    1.915 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:357(bench_raytrace)
       10    0.444    0.044   19.112    1.911 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:245(render)
153330/100000    0.383    0.000   17.303    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:266(rayColour)
53330/37890    0.481    0.000   13.150    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:315(colourAt)
    53330    0.115    0.000    9.029    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:290(visibleLights)
   106660    1.179    0.000    8.896    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:283(_lightIsVisible)
  1794570    2.308    0.000    7.705    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:142(intersectionTime)
   152650    0.640    0.000    5.451    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:271(<listcomp>)
  2778650    2.684    0.000    4.077    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:113(__sub__)
  5098710    3.257    0.000    3.969    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:51(dot)
   981720    0.576    0.000    3.863    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:177(__init__)
  1098870    0.822    0.000    3.674    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:61(normalized)
  1098870    0.742    0.000    1.766    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:35(magnitude)
  4529430    1.596    0.000    1.596    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:24(__init__)
  1497430    0.966    0.000    1.492    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:48(scale)
  5205390    0.728    0.000    0.728    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:76(mustBeVector)
   100000    0.276    0.000    0.435    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:200(plot)
  2778650    0.407    0.000    0.407    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:122(isPoint)
   255010    0.167    0.000    0.361    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:164(intersectionTime)
    53330    0.085    0.000    0.320    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:82(reflectThrough)
   200000    0.206    0.000    0.307    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:38(__add__)
    38570    0.107    0.000    0.223    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:346(baseColourAt)
    53330    0.056    0.000    0.200    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:184(pointAtTime)
   152650    0.185    0.000    0.185    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:213(firstIntersection)
  1168210    0.166    0.000    0.166    0.000 {built-in method math.sqrt}
   159990    0.118    0.000    0.118    0.000 /root/HW-SW-Co-Design/results/20260918T093041.328891Z-raytrace-baseline-python-7bf29a2f/source/run_benchmark.py:298(addColours)
   353330    0.107    0.000    0.107    0.000 {built-in method builtins.min}
